mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean
mcar,0.3,30,EXO1,0.3163429413116225,0.010370313712096657,0.24375000231381522,5,21.2
mcar,0.3,30,CCNB1,0.3362445680641277,0.0170320384054288,0.2596921574129732,5,23.8
mcar,0.3,30,RRM2,0.3506776801693297,0.01107543967225456,0.26291399957259093,5,23.6
mcar,0.3,30,MELK,0.3717097855440361,0.01605345183376471,0.2780261201524327,5,19.8
mcar,0.3,30,CDC20,0.3792528379680272,0.01948588929594994,0.28909285224345815,5,21.0
mcar,0.3,30,PTTG1,0.38401001160054926,0.012994541514427417,0.29988776316677096,5,22.6
mcar,0.3,30,ORC6,0.3842408309084974,0.005812347777953456,0.3136228805413304,5,22.6
mcar,0.3,30,UBE2T,0.38625597300566084,0.010946761110618626,0.2915422638951937,5,20.6
mcar,0.3,30,CENPF,0.4155345578548883,0.0046832811339786425,0.31134861866049945,5,21.6
mcar,0.3,30,UBE2C,0.42064117479606067,0.013098018550737365,0.32127535386752326,5,22.0
mcar,0.3,30,MIA,0.46432446417654144,0.019539947095266543,0.28155533154899437,5,22.6
mcar,0.3,30,CCNE1,0.47435102497540715,0.011218267727314211,0.32057753744095524,5,23.2
mcar,0.3,30,TYMS,0.48060084493959393,0.012060894811755842,0.37283974978836226,5,22.6
mcar,0.3,30,BIRC5,0.4901363295801112,0.019313269129457265,0.3604472248407604,5,16.6
mcar,0.3,30,TMEM45B,0.5157739489670558,0.01987302280169852,0.3833013212378583,5,23.8
mcar,0.3,30,GRB7,0.5264433178114555,0.01122104441581306,0.3818845751625114,5,17.8
mcar,0.3,30,ACTR3B,0.529538927194324,0.053566127980565356,0.3277226465065266,5,22.8
mcar,0.3,30,KRT5,0.5445559707830102,0.03856399075250837,0.30976298652361256,5,23.8
mcar,0.3,30,ERBB2,0.5516846738588759,0.0034106112094956847,0.3960161571107289,5,22.8
mcar,0.3,30,CXXC5,0.5635541432128749,0.02211910081024959,0.4256424704159548,5,23.6
mcar,0.3,30,FOXA1,0.5723106224793038,0.018273709783550005,0.4116732955458229,5,22.8
mcar,0.3,30,GPR160,0.5952477468360706,0.026075744315704065,0.45850492319611896,5,23.4
mcar,0.3,30,MLPH,0.619159701325166,0.031128546197525725,0.47547664207199725,5,21.2
mcar,0.3,30,BLVRA,0.6193797653635382,0.029136916907024496,0.46495837472413715,5,21.0
mcar,0.3,30,EGFR,0.6250803420799258,0.054017217231453654,0.3153356490264887,5,20.2
mcar,0.3,30,BCL2,0.6523235619887573,0.021083171708455743,0.5016603190960698,5,23.8
mcar,0.3,30,KRT14,0.6869897720513929,0.03999651418774802,0.40185725270136635,5,19.6
