cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,rmse_mean,rmse_std,mae_mean,mae_std,corr_rv_mean,corr_frobenius_rel_mean
discovery,mar,RFECA_SVR(k=10),0.05,0.9268685867272823,0.04490287625697919,0.9179166666666667,0.05684601719735352,50,2.2021118067837158,0.5092855048787034,1.5432491980046108,0.32235950615072156,0.9922723901812829,0.11947856977376141
discovery,mar,RFECA_SVR(k=20),0.05,0.9232721252177776,0.043518296072710065,0.9141666666666667,0.05384190976521479,50,2.461430145474274,0.5586583042711484,1.7530374888650748,0.37985366026421485,0.9899348508292556,0.13506207684768204
discovery,mar,MissForest,0.05,0.9288588464675422,0.046148695729570824,0.92,0.05837583485688314,50,1.91850080044768,0.4032885758061554,1.3276857293781914,0.26821478177256786,0.9953590366828834,0.09436082458879998
discovery,mar,SimpleMean,0.1,0.911672984744724,0.05590113610166578,0.9003030303030305,0.06120553282630838,50,2.989351260200347,0.4407341431492023,2.2150742224849065,0.2967082570286274,0.9767277308923916,0.22066830631555054
discovery,mar,"KNN(k=5,dist)",0.1,0.9241778115604202,0.04999586977747533,0.9112121212121211,0.0596683114175169,50,2.1978076836959897,0.36892789696368805,1.5409863947777653,0.22813390624007332,0.9881625295888018,0.15143994974161729
discovery,mar,RFECA_SVR(k=5),0.1,0.919097001307871,0.048861122330830106,0.9091287878787878,0.05800337018365446,50,2.299340362759831,0.476408374007571,1.5534778753284528,0.3090438388756916,0.9867367373314816,0.16020882422883193
discovery,mar,RFECA_SVR(k=10),0.1,0.917757707751186,0.05314331316586096,0.9057954545454545,0.06191314547188643,50,2.467370499470442,0.5242276168108214,1.6791544634998044,0.3519710742318506,0.9841185050002926,0.17465384663457154
discovery,mar,RFECA_SVR(k=20),0.1,0.9192542916021178,0.05290794032086258,0.9124621212121212,0.061596025847441206,50,2.7391707486616013,0.5617738390049941,1.9142686404497504,0.3961596503231173,0.979474692490207,0.19656641208623366
discovery,mar,MissForest,0.1,0.9260019545671722,0.05080633052055329,0.9202651515151515,0.06018942337217935,50,2.0184211287574176,0.43850034225526197,1.356877516972282,0.2706105942413755,0.9902940253436091,0.13748280671051727
discovery,mar,SimpleMean,0.2,0.897839197758763,0.053284826694354824,0.8849621212121213,0.0627271760976374,50,2.944471595191907,0.3827907622381349,2.2008366870276497,0.2639393955040396,0.9487160149904621,0.33307305449993163
discovery,mar,"KNN(k=5,dist)",0.2,0.9283549399875487,0.0589303237264428,0.9208333333333333,0.06694774928096424,50,2.202264428425988,0.2916446184043213,1.5363154009133633,0.19168562932394775,0.9767158685511619,0.21519385196911542
discovery,mar,RFECA_SVR(k=5),0.2,0.904445165945166,0.05007373950187592,0.8920833333333335,0.06152729470078526,50,2.4281262483168207,0.4238115259828082,1.661710340001389,0.26799538131748574,0.9718248027986199,0.23588085261008568
discovery,mar,RFECA_SVR(k=10),0.2,0.9092047734873823,0.050007076460453756,0.8966666666666667,0.05951785684520832,50,2.532989989419828,0.4322966952112947,1.7448952463913638,0.27568681040218107,0.9663473544422615,0.2575162615157265
discovery,mar,RFECA_SVR(k=20),0.2,0.8932843813191641,0.0646497350666339,0.8812121212121212,0.06692482658315717,50,2.8753258037080434,0.38677166810975044,1.9996498827113225,0.2765535489878763,0.9533145528376434,0.3007608339194011
