cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
metabric,mar,0.05,f1_macro,True,10,4,0.8400000000000034,0.8398775532972503,,2.3,0.8807230463647768,2.8,0.8803363082962823,2.4,0.8816077162833883,2.5,0.8805805867748587
metabric,mar,0.1,f1_macro,True,10,4,10.199999999999989,0.016940373522533966,,3.4,0.8743290626841953,2.7,0.8778545991857504,2.3,0.8779987803856862,1.6,0.8791786876085735
metabric,mar,0.2,f1_macro,True,10,4,16.680000000000007,0.0008223211616270041,,3.9,0.8635717320954566,1.7,0.8721681465435436,2.2,0.8710153657068591,2.2,0.8707923202001207
metabric,mar,0.3,f1_macro,True,10,4,18.359999999999985,0.00037069959318386455,,3.2,0.8480200851951301,3.5,0.848245423395533,1.9,0.8585895875390565,1.4,0.8606189427022096
metabric,mar,0.05,rmse,False,10,4,27.120000000000005,5.55598717156124e-06,,4.0,1.1688933346254948,2.6,0.699695891558898,2.4,0.7002640860420702,1.0,0.6290763935180603
metabric,mar,0.1,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,1.1602141435329831,2.1,0.7098662056262381,2.9,0.717180193815534,1.0,0.6427895028879883
metabric,mar,0.2,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,1.1491114075405715,2.1,0.7507455341014431,2.9,0.767282303725871,1.0,0.6721495670652327
metabric,mar,0.3,rmse,False,10,4,30.0,1.3800570312932553e-06,,4.0,1.143003217234177,3.0,0.856710260394444,2.0,0.8155719327206805,1.0,0.7052613170597014
metabric,mar,0.05,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.9977647441987761,2.8,0.9993058780812966,2.2,0.9993210733502712,1.0,0.9994367754978134
metabric,mar,0.1,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.9942925728728254,2.4,0.9984620111159137,2.6,0.998448242547688,1.0,0.9987570661639641
metabric,mar,0.2,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.9830501684053313,2.2,0.9961800963159358,2.8,0.9959980552093294,1.0,0.9971128483385948
metabric,mar,0.3,corr_rv,True,10,4,27.47999999999999,4.669409820165777e-06,,4.0,0.966421453522794,2.3,0.9924434633760825,2.7,0.9922312231768948,1.0,0.9950398714454506
