cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8660736598153809,0.8699658920139648,-0.0038922321985839226,0.005859375,10,
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8660736598153809,0.8699883418704252,-0.003914682055044305,0.037109375,10,
metabric,0.2,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8660736598153809,0.8748686891553614,-0.008795029339980553,0.001953125,10,
metabric,0.2,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8691416635535308,0.8699658920139648,-0.0008242284604339511,0.556640625,10,
metabric,0.2,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8691416635535308,0.8699883418704252,-0.0008466783168943337,0.76953125,10,
metabric,0.2,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8691416635535308,0.8748686891553614,-0.005727025601830582,0.005859375,10,
metabric,0.2,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8699658920139648,0.8699883418704252,-2.2449856460382556e-05,0.921875,10,
metabric,0.2,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8699658920139648,0.8748686891553614,-0.004902797141396631,0.01953125,10,
metabric,0.2,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8699883418704252,0.8748686891553614,-0.004880347284936248,0.005859375,10,
metabric,0.3,f1_macro,SimpleMean,"KNN(k=5,dist)",0.8550846750816824,0.8582261234591261,-0.0031414483774436786,0.76953125,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8550846750816824,0.8611557612545108,-0.006071086172828366,0.013671875,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8550846750816824,0.863862901789948,-0.008778226708265557,0.001953125,10,
metabric,0.3,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8550846750816824,0.8627088318455879,-0.0076241567639054875,0.01953125,10,
metabric,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8582261234591261,0.8611557612545108,-0.0029296377953846875,0.10546875,10,
metabric,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8582261234591261,0.863862901789948,-0.005636778330821879,0.013671875,10,
metabric,0.3,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8582261234591261,0.8627088318455879,-0.004482708386461809,0.048828125,10,
metabric,0.3,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8611557612545108,0.863862901789948,-0.0027071405354371914,0.02734375,10,
metabric,0.3,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8611557612545108,0.8627088318455879,-0.0015530705910771214,0.275390625,10,
metabric,0.3,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.863862901789948,0.8627088318455879,0.00115406994436007,0.6953125,10,
