imputer,source_imputer,mechanism,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows,protocol
RFECA,OriginalRFECA,mcar,0.1,EnsembleSoft,0.8771232344973182,0.015707979755862023,0.8674408517598505,0.014274937963821828,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.1,GB,0.863225844045751,0.016187158739698695,0.8527972953447922,0.018207679395310598,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.1,LogReg,0.8654365230949854,0.014207799907974631,0.8627860412302004,0.011753868677682106,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.1,RF,0.8631279181143411,0.015716660030785166,0.8477569153852851,0.018359385980586805,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.1,SVC,0.879381933761278,0.01581867283387681,0.8700342180284415,0.013812350358134717,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.2,EnsembleSoft,0.8759837976830788,0.015846879767085657,0.8665680553934726,0.016852337400827984,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.2,GB,0.8633577612465813,0.01535702933448558,0.8532027787502756,0.017947669702339124,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.2,LogReg,0.857475257115124,0.019816242677954714,0.855455807849261,0.018279371618983145,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.2,RF,0.8624336608606522,0.015121825276598399,0.8474542620409116,0.018800730136399386,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.2,SVC,0.8765934775622118,0.019074809655305124,0.8673909052009181,0.018101868763989625,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.3,EnsembleSoft,0.8723485530109701,0.019545875446428287,0.863688700687417,0.020942992843257797,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.3,GB,0.8600959404232824,0.021573363115782684,0.8498713709625134,0.024251333021266752,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.3,LogReg,0.8589359074728045,0.01600052022943242,0.855638846747319,0.015647859627791593,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.3,RF,0.8614844793694819,0.01255646276549599,0.847162729440008,0.016026481244944858,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.3,SVC,0.8696075126470578,0.018481550153265434,0.8607398077603469,0.019839165910005237,25,post_target_wise_impute
