cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,p_holm
METABRIC,MCAR,0.3,mae,False,Mean,KNN,0.7538805993199806,0.49920992254852836,0.2546706767714523,0.2529763236179222,0.2565422628863741,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,mae,False,Mean,MissForest,0.7538805993199806,0.4367002987725761,0.31718030054740454,0.31538691406278724,0.318700839191737,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,mae,False,KNN,MissForest,0.49920992254852836,0.4367002987725761,0.06250962377595226,0.061358920739765455,0.0637208552648807,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,corr_rv,True,Mean,KNN,0.9795621827478052,0.9945285305584186,-0.014966347810613456,-0.01528661307028321,-0.014605651732598663,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,corr_rv,True,Mean,MissForest,0.9795621827478052,0.9958367736412237,-0.01627459089341854,-0.016527922223226015,-0.016007486628756066,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,corr_rv,True,KNN,MissForest,0.9945285305584186,0.9958367736412237,-0.0013082430828050828,-0.0014471881849519648,-0.0011936415123337755,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,f1_macro,True,Mean,KNN,0.8550846750816824,0.8582261234591261,-0.0031414483774436786,-0.00884667521023486,0.0017660685882991596,24.0,0.76953125,0.2,10,5000,0.76953125
METABRIC,MCAR,0.3,f1_macro,True,Mean,MissForest,0.8550846750816824,0.8662237147375468,-0.01113903965586438,-0.014161858229126984,-0.008646873469599749,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,f1_macro,True,KNN,MissForest,0.8582261234591261,0.8662237147375468,-0.007997591278420701,-0.011270782583925198,-0.004375314705940159,2.0,0.005859375,-0.8,10,5000,0.01171875
METABRIC,MAR,0.05,rmse,False,Mean,KNN,1.1688933346254948,0.699695891558898,0.46919744306659683,0.4600938852331582,0.47858952831514684,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.05,rmse,False,Mean,MissForest,1.1688933346254948,0.6290763935180603,0.5398169411074345,0.5297595588960045,0.5499154434108173,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.05,rmse,False,KNN,MissForest,0.699695891558898,0.6290763935180603,0.07061949804083767,0.06594600625599276,0.07586160107181304,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.05,mae,False,Mean,KNN,0.8278765175265456,0.47767433921768443,0.35020217830886113,0.3442567015215697,0.3565809853983315,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MAR,0.05,mae,False,Mean,MissForest,0.8278765175265456,0.4260548307267255,0.40182168679982005,0.39593490901868084,0.4082698293465845,0.0,0.001953125,1.0,10,5000,0.005859375
