mechanism,missing_rate,gene,rmse_mean,mae_mean,n
mar,0.3,RRM2,0.34296669967316856,0.25906773338022504,5
mar,0.3,SFRP1,1.0155653360509362,0.6971073132757698,5
mar,0.3,SLC39A6,0.9626479209875656,0.7632145303113502,5
mar,0.3,TMEM45B,0.5213117236760823,0.3810819273641102,5
mar,0.3,TYMS,0.4917020107678315,0.3854927338453705,5
mar,0.3,UBE2C,0.4275546756895953,0.3256560014275184,5
mar,0.3,UBE2T,0.38254048229915966,0.2886442696941288,5
mcar,0.05,ACTR3B,0.591391061211902,0.368727144578065,5
mcar,0.05,ANLN,0.30786740668450047,0.2274644845277754,5
mcar,0.05,BAG1,0.324043759657134,0.2295688155631978,5
mcar,0.05,BCL2,0.6317853232003037,0.5006668617255141,5
mcar,0.05,BIRC5,0.4882077932374901,0.3545324454914217,5
mcar,0.05,BLVRA,0.6562086582811733,0.4845447387383805,5
mcar,0.05,CCNB1,0.3613756217318572,0.273301904311974,5
mcar,0.05,CCNE1,0.47947561249972137,0.30751129427210566,5
mcar,0.05,CDC20,0.3156178283695442,0.2460921265212134,5
mcar,0.05,CDC6,0.18400553116075727,0.13090870538836502,5
mcar,0.05,CDH3,0.7845318774089279,0.6181361836290579,5
mcar,0.05,CENPF,0.4065554074971508,0.31383552546256066,5
mcar,0.05,CEP55,0.26772692618083604,0.20913658677633662,5
mcar,0.05,CXXC5,0.5557268386601356,0.431432854484585,5
mcar,0.05,EGFR,0.6386083844280094,0.31402789083313454,5
mcar,0.05,ERBB2,0.49344657834360567,0.3746859596024571,5
mcar,0.05,ESR1,0.9668975413395107,0.7623953588549257,5
mcar,0.05,EXO1,0.31855696562145236,0.24748658323011244,5
mcar,0.05,FGFR4,0.840327958812604,0.567794726041222,5
mcar,0.05,FOXA1,0.5457461946594698,0.4029134186416573,5
mcar,0.05,FOXC1,0.7083650840242124,0.5109307912221548,5
mcar,0.05,GPR160,0.5866768506923503,0.4550494048384676,5
mcar,0.05,GRB7,0.5283400177891309,0.3697535621665603,5
mcar,0.05,KIF2C,0.24972760203369343,0.19176768899424163,5
mcar,0.05,KRT14,0.6133161189804325,0.36855184147212394,5
mcar,0.05,KRT17,0.6909910761320068,0.4745993725383323,5
mcar,0.05,KRT5,0.47010557852567014,0.27718623289848765,5
mcar,0.05,MAPT,1.0568636143633592,0.7900664869325836,5
mcar,0.05,MDM2,0.2171407248060775,0.15051556002625033,5
mcar,0.05,MELK,0.4054691794956297,0.3093366867443368,5
mcar,0.05,MIA,0.5164986370184407,0.3142053972488261,5
mcar,0.05,MKI67,0.19650564431739417,0.15232529032375938,5
mcar,0.05,MLPH,0.6396360474329368,0.492300688608352,5
mcar,0.05,MMP11,1.19543690159657,0.9263646790371795,5
mcar,0.05,MYBL2,0.1630267208289565,0.12940385621024503,5
mcar,0.05,MYC,0.8203976537837849,0.6617520352198473,5
mcar,0.05,NAT1,1.1062380424636074,0.8401839452007718,5
mcar,0.05,NDC80,0.22300752527277176,0.1745400419239302,5
mcar,0.05,NUF2,0.28414113165920163,0.19280055146541764,5
mcar,0.05,ORC6,0.41092926988089484,0.3419315215685555,5
mcar,0.05,PGR,0.7965587638466991,0.6137515879137175,5
mcar,0.05,PHGDH,0.8932760855232843,0.6995241482737304,5
mcar,0.05,PTTG1,0.3874835579349096,0.30489907383461334,5
mcar,0.05,RRM2,0.33282119715501696,0.26128723977863066,5
mcar,0.05,SFRP1,0.9520329907107374,0.6405278962854423,5
mcar,0.05,SLC39A6,0.9704063562383858,0.7674156261323298,5
mcar,0.05,TMEM45B,0.5306843377596008,0.3887099226852504,5
mcar,0.05,TYMS,0.502763960593749,0.4012126689990976,5
mcar,0.05,UBE2C,0.39637812138219575,0.3044988239935353,5
mcar,0.05,UBE2T,0.36366779204576566,0.27527686843237775,5
mcar,0.1,ACTR3B,0.5158777559330385,0.3326623739389862,5
mcar,0.1,ANLN,0.29591762959024737,0.22123976357454117,5
mcar,0.1,BAG1,0.3105668878685818,0.21735741567627143,5
mcar,0.1,BCL2,0.6801109591706936,0.5263000264814808,5
mcar,0.1,BIRC5,0.5090588993089709,0.3698140910662619,5
mcar,0.1,BLVRA,0.5924130304838534,0.4364418939736823,5
mcar,0.1,CCNB1,0.3459925293569162,0.26809118482749544,5
mcar,0.1,CCNE1,0.4832176751919377,0.3252323415678685,5
mcar,0.1,CDC20,0.37461621087345087,0.28502214946832954,5
mcar,0.1,CDC6,0.20550865268179122,0.1352785692742716,5
mcar,0.1,CDH3,0.8286096989540941,0.622879477904719,5
mcar,0.1,CENPF,0.3958239737595374,0.3025995260422317,5
mcar,0.1,CEP55,0.2775221277020347,0.21032801814626906,5
mcar,0.1,CXXC5,0.5526164441771283,0.41795295017087597,5
mcar,0.1,EGFR,0.5565884156410641,0.28173438625098374,5
mcar,0.1,ERBB2,0.5394178251677483,0.4089612059911044,5
mcar,0.1,ESR1,0.9328526781225331,0.727958790633345,5
mcar,0.1,EXO1,0.29417634526408537,0.22869473360556367,5
mcar,0.1,FGFR4,0.8390792672360379,0.5592614471437265,5
mcar,0.1,FOXA1,0.5245397372438788,0.39606519949703617,5
mcar,0.1,FOXC1,0.7319652869030321,0.5355784481754884,5
mcar,0.1,GPR160,0.5863514950983253,0.45257157128135167,5
mcar,0.1,GRB7,0.5152109307472408,0.382018797162592,5
mcar,0.1,KIF2C,0.2531519408006969,0.1958430079055126,5
mcar,0.1,KRT14,0.6746485798991652,0.4109594624425962,5
