cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
cptac_2c,mcar,0.3,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.072919783458199,2.251180482562588,-0.17826069910438844,-0.19722672064638483,-0.15869815532194373,0.0,0.001953125,-1.0,10,5000,,0.005859375
cptac_2c,mcar,0.3,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.1225456653142145,2.251180482562588,-0.12863481724837317,-0.1522145293525391,-0.10551839819624438,0.0,0.001953125,-1.0,10,5000,,0.005859375
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8835451074301796,0.8822808921451191,0.0012642152850605103,-0.001571716327215733,0.0038901714196533975,16.0,0.275390625,0.4181818181818182,10,5000,,0.826171875
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8835451074301796,0.8828589042177921,0.0006862032123875483,-0.0014718892503312088,0.003311846855943847,27.0,1.0,-0.018181818181818077,10,5000,,1.0
metabric,mcar,0.05,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8822808921451191,0.8828589042177921,-0.0005780120726729621,-0.00218151796422436,0.0011287387855398274,21.0,0.556640625,-0.23636363636363633,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8770155334895996,0.8778479141048244,-0.0008323806152247815,-0.0027592843557496197,0.0010229242216619012,22.0,0.625,-0.19999999999999996,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8770155334895996,0.8776612416259578,-0.0006457081363581474,-0.0037494035464642967,0.0017697754534528017,25.0,0.845703125,0.09090909090909094,10,5000,,1.0
metabric,mcar,0.1,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8778479141048244,0.8776612416259578,0.00018667247886663407,-0.0014548122845043062,0.0016923923297829475,24.0,0.76953125,0.12727272727272732,10,5000,,1.0
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8707824031518786,0.8705005445032153,0.0002818586486633912,-0.0019427507893326297,0.002373722897223379,26.0,0.921875,0.054545454545454564,10,5000,,0.921875
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8707824031518786,0.8734905636873807,-0.002708160535501969,-0.005527628453156111,0.00032584476659133847,13.0,0.16015625,-0.5272727272727273,10,5000,,0.3203125
metabric,mcar,0.2,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8705005445032153,0.8734905636873807,-0.00299001918416536,-0.004916020364335278,-0.0011557255395329593,5.0,0.01953125,-0.8181818181818181,10,5000,,0.05859375
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8608981377578886,0.862669851872832,-0.001771714114943468,-0.004274448822280324,0.0008427170911412736,16.0,0.275390625,-0.4181818181818182,10,5000,,0.55078125
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8608981377578886,0.8639685799065422,-0.0030704421486536736,-0.005138291735077412,-0.0008037527081788065,7.0,0.037109375,-0.7454545454545454,10,5000,,0.111328125
