mechanism,missing_rate,gene,mean_pairwise_jaccard
MAR,0.1,ESR1,0.7248026755852843
MAR,0.1,EXO1,0.758463413969707
MAR,0.1,FGFR4,0.6768493256424291
MAR,0.1,FOXA1,0.869316002837742
MAR,0.1,FOXC1,0.7600022385022385
MAR,0.1,GPR160,0.6656761481010647
MAR,0.1,GRB7,0.7379488152749022
MAR,0.1,KIF2C,0.6172172143476492
MAR,0.1,KRT14,0.6150012887329228
MAR,0.1,KRT17,0.9
MAR,0.1,KRT5,0.7038618724825622
MAR,0.1,MAPT,0.7554391534391535
MAR,0.1,MDM2,0.5615281385281385
MAR,0.1,MELK,0.6238218311479181
MAR,0.1,MIA,0.7445685795685796
MAR,0.1,MKI67,0.6987478421961181
MAR,0.1,MLPH,0.6246864947533323
MAR,0.1,MMP11,0.6795406860062032
MAR,0.1,MYBL2,0.7056349206349206
MAR,0.1,MYC,0.7989888425750494
MAR,0.1,NAT1,0.7987037037037037
MAR,0.1,NDC80,0.7726170266515093
MAR,0.1,NUF2,0.6973630407018713
MAR,0.1,ORC6,0.7287500456121145
MAR,0.1,PGR,0.6287557997557999
MAR,0.1,PHGDH,0.7796808555429245
MAR,0.1,PTTG1,0.7467517297517298
MAR,0.1,RRM2,0.7665445665445665
MAR,0.1,SFRP1,0.6889925147316451
MAR,0.1,SLC39A6,0.6923481116584564
MAR,0.1,TMEM45B,0.6541811935026618
MAR,0.1,TYMS,0.7524216524216525
MAR,0.1,UBE2C,0.8280023535240926
MAR,0.1,UBE2T,0.7340958164642375
MAR,0.2,ACTR3B,0.5793959377149032
MAR,0.2,ANLN,0.5090452366917884
MAR,0.2,BAG1,0.6201594389008183
MAR,0.2,BCL2,0.5969355500821016
MAR,0.2,BIRC5,0.597060106310481
MAR,0.2,BLVRA,0.668866902019076
MAR,0.2,CCNB1,0.6401454815937575
MAR,0.2,CCNE1,0.735289695811435
MAR,0.2,CDC20,0.686410052910053
MAR,0.2,CDC6,0.4405722639933166
MAR,0.2,CDH3,0.6482211275314723
MAR,0.2,CENPF,0.6005950567785939
MAR,0.2,CEP55,0.7739601139601139
MAR,0.2,CXXC5,0.7174940423561113
MAR,0.2,EGFR,0.6901300366300367
MAR,0.2,ERBB2,0.7206580775546293
MAR,0.2,ESR1,0.6277072754831374
MAR,0.2,EXO1,0.6527056679230592
MAR,0.2,FGFR4,0.6432658098606374
MAR,0.2,FOXA1,0.8147201783723522
MAR,0.2,FOXC1,0.7195355563976253
MAR,0.2,GPR160,0.5984378903344421
MAR,0.2,GRB7,0.8550980392156863
MAR,0.2,KIF2C,0.5771645021645022
MAR,0.2,KRT14,0.6944885969713555
MAR,0.2,KRT17,0.8466666666666667
MAR,0.2,KRT5,0.5341107620792779
MAR,0.2,MAPT,0.6675353318456767
MAR,0.2,MDM2,0.5940398299018989
MAR,0.2,MELK,0.5953357479294011
MAR,0.2,MIA,0.61132148821804
MAR,0.2,MKI67,0.6387566137566137
MAR,0.2,MLPH,0.5979942793580169
MAR,0.2,MMP11,0.5840417708228802
MAR,0.2,MYBL2,0.5567635697635699
MAR,0.2,MYC,0.6982594417077176
MAR,0.2,NAT1,0.7556748066748067
MAR,0.2,NDC80,0.6364865268830787
MAR,0.2,NUF2,0.6164574474057233
MAR,0.2,ORC6,0.5730102931715835
MAR,0.2,PGR,0.6526959145579836
MAR,0.2,PHGDH,0.6575425958295813
MAR,0.2,PTTG1,0.7719169719169721
MAR,0.2,RRM2,0.6745028279511038
MAR,0.2,SFRP1,0.5742942472597644
MAR,0.2,SLC39A6,0.6731200791545618
MAR,0.2,TMEM45B,0.6382631669513229
MAR,0.2,TYMS,0.7721107041107041
MAR,0.2,UBE2C,0.8252820512820513
MAR,0.2,UBE2T,0.6552575250836121
MAR,0.3,ACTR3B,0.5593284719647345
MAR,0.3,ANLN,0.5242908069774637
MAR,0.3,BAG1,0.5818895835964801
MAR,0.3,BCL2,0.6438076291524568
MAR,0.3,BIRC5,0.5635638870932989
MAR,0.3,BLVRA,0.6617356144882381
MAR,0.3,CCNB1,0.641121286121286
MAR,0.3,CCNE1,0.6261403028644408
MAR,0.3,CDC20,0.6274855655200482
MAR,0.3,CDC6,0.5075108225108225
MAR,0.3,CDH3,0.6636772486772486
MAR,0.3,CENPF,0.644245224762466
MAR,0.3,CEP55,0.7485602006688964
MAR,0.3,CXXC5,0.6634795739217318
