mechanism,missing_rate,replicate,method,rmse,mae
mcar,0.2,1,OriginalRFECA,0.6144334700654961,0.4065290821945316
mcar,0.2,2,OriginalRFECA,0.6116540748837421,0.4030381008108064
mcar,0.2,3,OriginalRFECA,0.6084569191693275,0.4030464685448079
mcar,0.2,4,OriginalRFECA,0.6157306886208015,0.4068909738830337
mcar,0.3,0,OriginalRFECA,0.6160452261498978,0.4067954524160932
mcar,0.3,1,OriginalRFECA,0.6264848765100035,0.4111946581137224
mcar,0.3,2,OriginalRFECA,0.6181796624714604,0.4070041019690501
mcar,0.3,3,OriginalRFECA,0.623232086156557,0.41213198367947
mcar,0.3,4,OriginalRFECA,0.622379112305706,0.4103110203605412
mar,0.05,0,OriginalRFECA,0.6635615178682122,0.4275745084813604
mar,0.05,1,OriginalRFECA,0.6356704993244724,0.4196426052560247
mar,0.05,2,OriginalRFECA,0.6224031618402739,0.4127470350869301
mar,0.05,3,OriginalRFECA,0.6438449255952985,0.4192999940452988
mar,0.05,4,OriginalRFECA,0.6416427876974308,0.4245247847100357
mar,0.1,0,OriginalRFECA,0.6535050276643706,0.4275250980841537
mar,0.1,1,OriginalRFECA,0.6220266079393173,0.4135800141067745
mar,0.1,2,OriginalRFECA,0.6364105257019339,0.4162120330966739
mar,0.1,3,OriginalRFECA,0.6423945365163464,0.4196148644370832
mar,0.1,4,OriginalRFECA,0.6398314055674992,0.4154859618596238
mar,0.2,0,OriginalRFECA,0.6417125419656355,0.4197721781674413
mar,0.2,1,OriginalRFECA,0.6314675165357442,0.4162248254213697
mar,0.2,2,OriginalRFECA,0.6377847399602956,0.4177898944708718
mar,0.2,3,OriginalRFECA,0.643394014760074,0.4212699758822335
mar,0.2,4,OriginalRFECA,0.644256137380235,0.4213319582356368
mar,0.3,0,OriginalRFECA,0.6390872847560543,0.4172628063667065
mar,0.3,1,OriginalRFECA,0.6387470392970559,0.4193931249853288
mar,0.3,2,OriginalRFECA,0.6364776719153383,0.415457212068703
mar,0.3,3,OriginalRFECA,0.6413714646379826,0.4217029538990985
mar,0.3,4,OriginalRFECA,0.6417852458191478,0.4190263910528475
