mechanism,missing_rate,method,gene,rmse_mean,rmse_std,mae_mean,mae_std,n_reps
mar,0.1,Mean,MDM2,0.2481084789398326,0.03623732954872278,0.1710095438370763,0.014983218782588252,5
mar,0.1,Mean,MELK,1.0437327062362418,0.051468232233558495,0.8628934348736046,0.050990033416321696,5
mar,0.1,Mean,MIA,0.7589402258187852,0.09609567860092492,0.45022265494194513,0.03224835444423064,5
mar,0.1,Mean,MKI67,0.37838717702242,0.010458716747890394,0.29363383324712766,0.006035774895049086,5
mar,0.1,Mean,MLPH,2.0383508677792093,0.12788271696960035,1.3626028908839969,0.10389549405890164,5
mar,0.1,Mean,MMP11,1.4603950712120042,0.0677982021002734,1.1658950374498678,0.062351061733425285,5
mar,0.1,Mean,MYBL2,0.16953314139712156,0.012809512348739812,0.12932133019243736,0.010132393923398118,5
mar,0.1,Mean,MYC,1.1334775802795902,0.04656662578617897,0.9175787509683954,0.043625362601553815,5
mar,0.1,Mean,NAT1,2.0201675798572327,0.06101727973647541,1.8039323932837057,0.06639376969245427,5
mar,0.1,Mean,NDC80,0.5529669439057882,0.03403390749547014,0.42187439979041025,0.03168264538475231,5
mar,0.1,Mean,NUF2,0.45301322872936256,0.03126105628548111,0.3543808206638908,0.017376249228831193,5
mar,0.1,Mean,ORC6,0.43931784751530467,0.012183393822580284,0.368056018414212,0.013768286190783324,5
mar,0.1,Mean,PGR,1.0117090460277278,0.07593103069639905,0.8668531474182822,0.06209286136984228,5
mar,0.1,Mean,PHGDH,1.4371888134672126,0.029187540627920266,1.1611207701651576,0.02721486569491663,5
mar,0.1,Mean,PTTG1,1.031592201196909,0.03746156676028389,0.857877926299533,0.03532378285708264,5
mar,0.1,Mean,RRM2,0.5162634127644081,0.009334511140635014,0.412337766491333,0.014914477970708478,5
mar,0.1,Mean,SFRP1,1.7313979638089942,0.170812211829188,1.3875186116116898,0.11494119970782969,5
mar,0.1,Mean,SLC39A6,1.690020767965994,0.0673234786976153,1.4376059847292295,0.07032888397828223,5
mar,0.1,Mean,TMEM45B,0.6275038656321913,0.054030045027398534,0.4745877990957087,0.01989116791876625,5
mar,0.1,Mean,TYMS,0.9449157721517751,0.050634152286632574,0.7540609155570444,0.0486977959325119,5
mar,0.1,Mean,UBE2C,1.3837919719508187,0.02143683664254641,1.1688746875528906,0.03314920607737251,5
mar,0.1,Mean,UBE2T,0.8748690252342838,0.028609689548295698,0.7122219019401308,0.022323192806363905,5
mar,0.1,MissForest,ACTR3B,0.5658979974794914,0.0423427669720642,0.37390504810368286,0.03563351457922824,5
mar,0.1,MissForest,ANLN,0.3129333737326686,0.022281520706423398,0.23381671878611754,0.01716418872154509,5
mar,0.1,MissForest,BAG1,0.3284044672516141,0.03800447249254701,0.23670078133799288,0.009637013854858191,5
