imputer,missing_rate,replicate,rmse_mean,rmse_std,mae_mean,mae_std,folds,total_masked_test_values
RFECA_SVR(k=20),0.1,4,2.4314050603289856,0.37945453173126303,1.7007294422438453,0.16510670760026952,5,590
SimpleMean,0.1,5,2.7843219982595087,0.16808100681805066,2.0874780722870176,0.09734020000676301,5,580
"KNN(k=5,dist)",0.1,5,1.8618823232755015,0.09055831559682499,1.324268556721225,0.09433663262034721,5,580
RFECA_SVR(k=5),0.1,5,1.9107435694555144,0.20952141889916526,1.3144762853378382,0.13745601446406894,5,580
RFECA_SVR(k=10),0.1,5,1.9902339044465684,0.1406356253126431,1.3724996954304953,0.09203335760935093,5,580
RFECA_SVR(k=20),0.1,5,2.2477524815680625,0.25538488002177184,1.5386440668622732,0.12215087447636451,5,580
SimpleMean,0.1,6,2.9827939457081984,0.06637489211509637,2.194235835898728,0.13749278578319948,5,565
"KNN(k=5,dist)",0.1,6,2.2350571827549786,0.17135272195377801,1.4872170245099121,0.05322611209024585,5,565
RFECA_SVR(k=5),0.1,6,2.14736038813454,0.13332111099120408,1.4626730679454243,0.041556428125446306,5,565
RFECA_SVR(k=10),0.1,6,2.0995275128817985,0.18139506403642133,1.4365714833095795,0.06719225546747079,5,565
RFECA_SVR(k=20),0.1,6,2.448381130382112,0.18054639107211637,1.6864368196408066,0.12316143269500265,5,565
SimpleMean,0.1,7,3.050958329715143,0.44074529547533603,2.244493998722149,0.27694057173732145,5,577
"KNN(k=5,dist)",0.1,7,2.1265985859793424,0.34053413262574195,1.4751095422534009,0.19433987738817762,5,577
RFECA_SVR(k=5),0.1,7,2.1817027341652637,0.4300438542198317,1.4748191104431954,0.26014030649925823,5,577
RFECA_SVR(k=10),0.1,7,2.263092839071949,0.29884163528890295,1.5577061948607127,0.1732331051448409,5,577
RFECA_SVR(k=20),0.1,7,2.6811891786833906,0.3621449087505569,1.8672423561027827,0.23886067452468704,5,577
SimpleMean,0.1,8,2.9108748915860336,0.23013373620775326,2.1738552437627168,0.12191637081276584,5,562
"KNN(k=5,dist)",0.1,8,2.1605426294429457,0.30856419237507465,1.4854203540034785,0.12953697684789847,5,562
RFECA_SVR(k=5),0.1,8,2.089848097962014,0.2700209778034904,1.4376213654245111,0.05591530778674409,5,562
RFECA_SVR(k=10),0.1,8,2.3296867707470277,0.2610273780559283,1.6065935442934165,0.13144229553710093,5,562
RFECA_SVR(k=20),0.1,8,2.4310671469849994,0.21130479165963748,1.7431249798877904,0.09313063471535249,5,562
SimpleMean,0.1,9,3.054839201262667,0.19800276548012435,2.2208788819738254,0.12307327290001789,5,547
"KNN(k=5,dist)",0.1,9,2.1469766659007252,0.15634143164809866,1.3807778189686462,0.11842363371992513,5,547
RFECA_SVR(k=5),0.1,9,2.4599098201168914,0.6540493616162215,1.5188359534318816,0.23381655746008237,5,547
RFECA_SVR(k=10),0.1,9,2.503072785341314,0.3783339677696116,1.623870748538172,0.2003700947088314,5,547
RFECA_SVR(k=20),0.1,9,2.645737647490173,0.3938325090457418,1.8084655686575588,0.11409838110552203,5,547
SimpleMean,0.2,0,2.9238571058661047,0.17266776823583593,2.1190863756215577,0.12517124081653028,5,1137
"KNN(k=5,dist)",0.2,0,2.236488757448054,0.12871650479722496,1.5006319840502846,0.11246341892699088,5,1137
RFECA_SVR(k=5),0.2,0,2.3667057994021152,0.3057265972713712,1.5064416863372407,0.12034098089559267,5,1137
RFECA_SVR(k=10),0.2,0,2.530488119636087,0.3186777219320441,1.6930752925665788,0.18030311599535878,5,1137
RFECA_SVR(k=20),0.2,0,2.81394056071093,0.2795320269503097,1.905970342145538,0.12547319871889537,5,1137
SimpleMean,0.2,1,2.934007607540301,0.4194138864830485,2.161696897819838,0.25767636560363,5,1119
"KNN(k=5,dist)",0.2,1,2.2272013604172014,0.3084007777530186,1.4978129391078467,0.14788871226158617,5,1119
RFECA_SVR(k=5),0.2,1,2.1561386654916066,0.29405630835565993,1.4563919593639376,0.12039277920091564,5,1119
RFECA_SVR(k=10),0.2,1,2.3467746206797107,0.4010328486749337,1.593313684603816,0.18294761461765555,5,1119
RFECA_SVR(k=20),0.2,1,2.8309527924566393,0.47666322508570247,1.8877783916568749,0.2185678244462403,5,1119
SimpleMean,0.2,2,2.7718376033894487,0.1659953481383871,2.050676926001583,0.11375489695312344,5,1168
"KNN(k=5,dist)",0.2,2,2.1277922588234723,0.06408998069193661,1.4304247776667727,0.07876490295997568,5,1168
RFECA_SVR(k=5),0.2,2,2.1967088626431,0.18107864033364246,1.4888330408736399,0.08041783912355355,5,1168
RFECA_SVR(k=10),0.2,2,2.4079056343367484,0.11805907878259086,1.611196279738253,0.13785895957730768,5,1168
RFECA_SVR(k=20),0.2,2,2.621285724380782,0.14063249964373642,1.833487570520088,0.09855445687336556,5,1168
SimpleMean,0.2,3,2.8504555621866605,0.19518017305499608,2.0811698034050607,0.1274140591539822,5,1136
"KNN(k=5,dist)",0.2,3,2.091534855620505,0.09813133433454961,1.444068530095596,0.0772636855695103,5,1136
RFECA_SVR(k=5),0.2,3,2.155974633824769,0.10144641478390819,1.4627642526146218,0.06322759057525419,5,1136
RFECA_SVR(k=10),0.2,3,2.351870067023003,0.175150810180894,1.6126517468151242,0.11237435111974951,5,1136
RFECA_SVR(k=20),0.2,3,2.757547101102996,0.16801980018030968,1.9304333060779868,0.09524987117193562,5,1136
SimpleMean,0.2,4,2.7996629253079774,0.285547309957306,2.062278508479925,0.17393416356577684,5,1136
"KNN(k=5,dist)",0.2,4,2.200812872221026,0.3113509323058194,1.493865982580116,0.11983328464698194,5,1136
RFECA_SVR(k=5),0.2,4,2.281131309104063,0.24143676236925168,1.4937719702594996,0.11727284553876619,5,1136
RFECA_SVR(k=10),0.2,4,2.463401841116659,0.39119200265900855,1.6277900783018797,0.15181472993959347,5,1136
RFECA_SVR(k=20),0.2,4,2.619974453980295,0.32076230553466134,1.8039915654857517,0.14633883355054578,5,1136
SimpleMean,0.2,5,2.7008255210705103,0.18512337889070457,2.0131524184935743,0.12731107682543605,5,1142
"KNN(k=5,dist)",0.2,5,2.010917902188416,0.14606076696564976,1.3842498800461047,0.07084363399383795,5,1142
RFECA_SVR(k=5),0.2,5,2.016552100322251,0.117385869317151,1.3971256212534535,0.04998407004370477,5,1142
RFECA_SVR(k=10),0.2,5,2.196256907551603,0.1507513388897297,1.5128164466947545,0.05053943391638652,5,1142
RFECA_SVR(k=20),0.2,5,2.659906335170741,0.24741175487238182,1.854438732314815,0.1291501776101669,5,1142
SimpleMean,0.2,6,2.753715873510047,0.2021681462379298,2.030906613647439,0.15223703316825637,5,1108
"KNN(k=5,dist)",0.2,6,2.0182300550376473,0.17859688787093578,1.4125188022123174,0.11585884982008346,5,1108
