imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values
RFECA_SVR(k=20),0.05,6,1,1.9812567846516322,1.447297835606532,54
RFECA_SVR(k=20),0.05,6,2,3.3245914470091797,2.125709268241897,63
RFECA_SVR(k=20),0.05,6,3,2.2056316628150436,1.469790075921893,54
RFECA_SVR(k=20),0.05,6,4,2.260389425833983,1.6688554000764328,58
RFECA_SVR(k=20),0.05,6,5,1.5755434992663035,1.2154560327288013,51
SimpleMean,0.05,7,1,2.195059284101412,1.6417514644559617,61
SimpleMean,0.05,7,2,2.5792868420791746,1.797367026026322,56
SimpleMean,0.05,7,3,2.43890497940066,1.855722412554827,52
SimpleMean,0.05,7,4,2.2748126684279213,1.8058786849604624,49
SimpleMean,0.05,7,5,2.658360155732309,1.998901993319683,61
"KNN(k=5,dist)",0.05,7,1,1.8698563889773128,1.275086966473909,61
"KNN(k=5,dist)",0.05,7,2,1.8539802007953117,1.249283235916783,56
"KNN(k=5,dist)",0.05,7,3,1.636700972756188,1.1551519526369638,52
"KNN(k=5,dist)",0.05,7,4,1.7515348227770708,1.2880971407095405,49
"KNN(k=5,dist)",0.05,7,5,1.6111298615457827,1.2194089506168193,61
RFECA_SVR(k=5),0.05,7,1,1.5765175192026404,1.127499213567712,61
RFECA_SVR(k=5),0.05,7,2,1.7867455730591408,1.247779866660511,56
RFECA_SVR(k=5),0.05,7,3,1.6319057462601119,1.0028001710784802,52
RFECA_SVR(k=5),0.05,7,4,1.4503211489774734,1.1896941769084561,49
RFECA_SVR(k=5),0.05,7,5,1.8669582637050655,1.3428889932271095,61
RFECA_SVR(k=10),0.05,7,1,1.5873358826261912,1.156233521644782,61
RFECA_SVR(k=10),0.05,7,2,1.8180764972117487,1.3099401559262844,56
RFECA_SVR(k=10),0.05,7,3,1.8768920426341353,1.2868831719810327,52
RFECA_SVR(k=10),0.05,7,4,1.7152204047352377,1.2624020225409371,49
RFECA_SVR(k=10),0.05,7,5,2.100772928071349,1.520731667295189,61
RFECA_SVR(k=20),0.05,7,1,1.7398288637643275,1.298260582606059,61
RFECA_SVR(k=20),0.05,7,2,2.1952707118319625,1.6272377525479804,56
RFECA_SVR(k=20),0.05,7,3,1.6699750117985321,1.3071233141758207,52
RFECA_SVR(k=20),0.05,7,4,2.189522716983258,1.5448650613051285,49
RFECA_SVR(k=20),0.05,7,5,2.3695415074180115,1.6308711714909256,61
SimpleMean,0.05,8,1,3.0606864445716373,2.141414214905606,69
SimpleMean,0.05,8,2,3.041689228771681,2.3255232065245144,54
