cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8627088318455878,0.8662237147375468,-0.0035148828919588,-0.0072742766337965,0.0005105665798666,12.0,0.130859375,-0.5636363636363637,10,5000,,0.654296875
metabric,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=5),1.0667378370555554,0.6931456736171708,0.3735921634383845,0.3613634463822491,0.3853701525359486,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=10),1.0667378370555554,0.6778398115407647,0.3888980255147907,0.3760660407996745,0.4007283441643008,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=20),1.0667378370555554,0.6734393084175554,0.3932985286379999,0.3833339917389978,0.4024617855877379,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),0.6795133633865713,0.6931456736171708,-0.0136323102305995,-0.0199841221974727,-0.0066957978271458,5.0,0.01953125,-0.8181818181818181,10,5000,,0.078125
metabric,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),0.6795133633865713,0.6778398115407647,0.0016735518458066,-0.0046315347280174,0.0085090161314593,23.0,0.6953125,0.1636363636363637,10,5000,,0.6953125
metabric,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),0.6795133633865713,0.6734393084175554,0.0060740549690158,-0.0002098286135061,0.0120148885413229,10.0,0.083984375,0.6363636363636364,10,5000,,0.16796875
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),0.6931456736171708,0.6778398115407647,0.0153058620764062,0.0131506426415225,0.0176298509875851,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),0.6931456736171708,0.6734393084175554,0.0197063651996154,0.0157382980323569,0.0246062893006013,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=5),MissForest,0.6931456736171708,0.6172462402652915,0.0758994333518793,0.0718586625593466,0.080044889677538,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),0.6778398115407647,0.6734393084175554,0.0044005031232092,0.000772391071256,0.0089176394089234,8.0,0.048828125,0.7090909090909091,10,5000,,0.146484375
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=10),MissForest,0.6778398115407647,0.6172462402652915,0.0605935712754731,0.0570886513471131,0.063931972386485,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.05,rmse,False,RFECA_SVR(k=20),MissForest,0.6734393084175554,0.6172462402652915,0.0561930681522638,0.0515354093777575,0.060920441138476,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=5),1.0632839529894025,0.7057575081677976,0.3575264448216045,0.3500682779896911,0.3653789855688157,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=10),1.0632839529894025,0.6890601949888076,0.3742237580005946,0.3667178493510083,0.3825222734857683,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=20),1.0632839529894025,0.6858574707692758,0.3774264822201262,0.3703135673573117,0.385925814312983,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),0.6914800654508626,0.7057575081677976,-0.0142774427169349,-0.0204657878740839,-0.0085819586667536,1.0,0.00390625,-0.9636363636363636,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),0.6914800654508626,0.6890601949888076,0.0024198704620551,-0.0026870118549655,0.0075246741502393,16.0,0.275390625,0.4181818181818182,10,5000,,0.275390625
metabric,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),0.6914800654508626,0.6858574707692758,0.0056225946815867,-0.0004998559533141,0.0116819473166112,12.0,0.130859375,0.5636363636363637,10,5000,,0.26171875
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),0.7057575081677976,0.6890601949888076,0.01669731317899,0.0154841740937205,0.0178590516265786,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),0.7057575081677976,0.6858574707692758,0.0199000373985217,0.017229427648948,0.0224077997326419,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=5),MissForest,0.7057575081677976,0.6236001728353093,0.0821573353324881,0.0781482080436701,0.086018872878008,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),0.6890601949888076,0.6858574707692758,0.0032027242195316,0.0010682246466243,0.005592801839641,7.0,0.037109375,0.7454545454545455,10,5000,,0.111328125
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=10),MissForest,0.6890601949888076,0.6236001728353093,0.0654600221534981,0.0617764557389013,0.0689962653623045,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.1,rmse,False,RFECA_SVR(k=20),MissForest,0.6858574707692758,0.6236001728353093,0.0622572979339664,0.0576994260184751,0.0664774318193739,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=5),1.0675325388276042,0.7231464675236974,0.3443860713039068,0.3394390098721754,0.3495120843449186,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=10),1.0675325388276042,0.7059020033174648,0.3616305355101393,0.358595410436038,0.3648137303785811,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=20),1.0675325388276042,0.7059426056470143,0.3615899331805898,0.3585550193084948,0.3643990679830043,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),0.7095707550674925,0.7231464675236974,-0.0135757124562048,-0.0175225396948016,-0.0095368232128009,0.0,0.001953125,-1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),0.7095707550674925,0.7059020033174648,0.0036687517500276,-0.0001248201406597,0.0073847568828199,12.0,0.130859375,0.5636363636363637,10,5000,,0.392578125
metabric,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),0.7095707550674925,0.7059426056470143,0.0036281494204782,-0.0003116088204328,0.0072300772527285,12.0,0.130859375,0.5636363636363637,10,5000,,0.392578125
metabric,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),0.7231464675236974,0.7059020033174648,0.0172444642062324,0.014781972915509,0.0196275166792547,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),0.7231464675236974,0.7059426056470143,0.017203861876683,0.0138580474354345,0.0204305150096944,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,RFECA_SVR(k=5),MissForest,0.7231464675236974,0.6371393598958995,0.0860071076277978,0.0823494479425143,0.0891812427351352,0.0,0.001953125,1.0,10,5000,,0.029296875
metabric,mcar,0.2,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),0.7059020033174648,0.7059426056470143,-4.060232954942178e-05,-0.0012938768908302,0.0014557854539489,22.0,0.625,-0.1999999999999999,10,5000,,0.625
