mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.1,MissForest,rmse,2.018421128757418,0.10486442560766449,1.9434056377083282,2.093436619806508,10
MAR,0.2,Mean,rmse,2.944471595191907,0.07858297274248688,2.8882567229488645,3.0006864674349494,10
MAR,0.2,KNN,rmse,2.202264428425988,0.09802856755244932,2.1321390156449316,2.2723898412070445,10
MAR,0.2,RFECA-k5,rmse,2.4281262483168207,0.10453853652039699,2.3533438842768883,2.502908612356753,10
MAR,0.2,RFECA-k10,rmse,2.532989989419828,0.1030041737781782,2.459305242363806,2.60667473647585,10
MAR,0.2,RFECA-k20,rmse,2.875325803708043,0.0770561286686849,2.820203169917535,2.930448437498551,10
MAR,0.2,MissForest,rmse,2.1148904888293627,0.1241076079389872,2.0261092544067085,2.203671723252017,10
MAR,0.3,Mean,rmse,2.93204585025975,0.04403096512851988,2.90054799527851,2.9635437052409905,10
MAR,0.3,KNN,rmse,2.284470673693334,0.07800864339316563,2.22866665191663,2.3402746954700375,10
MAR,0.3,RFECA-k5,rmse,2.5556382894695586,0.09519399347125826,2.4875406088329677,2.6237359701061496,10
MAR,0.3,RFECA-k10,rmse,2.8020246525021455,0.14230674457097556,2.7002245400070946,2.9038247649971964,10
MAR,0.3,RFECA-k20,rmse,3.0672129711786233,0.10306922961512736,2.993481685980366,3.140944256376881,10
MAR,0.3,MissForest,rmse,2.152384195473986,0.07525615936655371,2.0985491821542928,2.206219208793679,10
MCAR,0.05,Mean,corr_rv,0.991395823608008,0.001320977007256634,0.9904508535832386,0.9923407936327775,10
MCAR,0.05,KNN,corr_rv,0.9957050645445056,0.000492292578248579,0.9953528996488974,0.9960572294401138,10
MCAR,0.05,RFECA-k5,corr_rv,0.9955150706972308,0.0003967142751983291,0.9952312784007705,0.995798862993691,10
MCAR,0.05,RFECA-k10,corr_rv,0.9949992664452653,0.0009791124932672993,0.9942988515614843,0.9956996813290462,10
MCAR,0.05,RFECA-k20,corr_rv,0.9933479263751421,0.0007018007913849857,0.9928458883324092,0.9938499644178751,10
MCAR,0.05,MissForest,corr_rv,0.9965444435856412,0.0005140012047311847,0.9961767492741596,0.9969121378971229,10
MCAR,0.1,Mean,corr_rv,0.9810641913992681,0.0012136334165687586,0.9801960103534089,0.9819323724451274,10
MCAR,0.1,KNN,corr_rv,0.9910019525176054,0.0006622427074509556,0.9905282126234016,0.9914756924118091,10
MCAR,0.1,RFECA-k5,corr_rv,0.990267457217902,0.0008221059229030842,0.9896793580685139,0.9908555563672901,10
MCAR,0.1,RFECA-k10,corr_rv,0.9887258934007797,0.0011983934349168366,0.987868614381042,0.9895831724205173,10
MCAR,0.1,RFECA-k20,corr_rv,0.9857749182836555,0.0013187780182807034,0.9848315213208361,0.9867183152464749,10
MCAR,0.1,MissForest,corr_rv,0.9929716829525848,0.0007556383933808629,0.9924311318094632,0.9935122340957063,10
MCAR,0.2,Mean,corr_rv,0.9559710813457654,0.002959617299228878,0.9538538986717318,0.958088264019799,10
MCAR,0.2,KNN,corr_rv,0.9806961092133687,0.0014300961646564207,0.9796730800457796,0.9817191383809578,10
MCAR,0.2,RFECA-k5,corr_rv,0.9770641406279326,0.0020042234170196157,0.9756304055654594,0.9784978756904057,10
MCAR,0.2,RFECA-k10,corr_rv,0.9723549038949544,0.002441773959197377,0.9706081640304232,0.9741016437594856,10
MCAR,0.2,RFECA-k20,corr_rv,0.9654728799402583,0.0035716923436034972,0.962917845156259,0.9680279147242576,10
MCAR,0.2,MissForest,corr_rv,0.9847160971369705,0.0017695297026250857,0.9834502518438775,0.9859819424300635,10
MCAR,0.3,Mean,corr_rv,0.9191185000117372,0.005192186046539386,0.9154042338662608,0.9228327661572137,10
MCAR,0.3,KNN,corr_rv,0.9677730567841589,0.0029852401787900415,0.9656375446062804,0.9699085689620375,10
MCAR,0.3,RFECA-k5,corr_rv,0.9576778831883758,0.005110040174039474,0.954022380660089,0.9613333857166625,10
MCAR,0.3,RFECA-k10,corr_rv,0.946074424253494,0.005907274344807188,0.9418486147554728,0.9503002337515152,10
MCAR,0.3,RFECA-k20,corr_rv,0.9332244060327104,0.0058822700875288325,0.929016483502812,0.9374323285626088,10
MCAR,0.3,MissForest,corr_rv,0.97596488818435,0.002118455530091064,0.9744494363909076,0.9774803399777924,10
MCAR,0.05,Mean,f1_macro,0.9234447677925939,0.012870283434322225,0.9142379216560517,0.9326516139291361,10
MCAR,0.05,KNN,f1_macro,0.9245413077260902,0.012442285315509023,0.9156406329995834,0.933441982452597,10
MCAR,0.05,RFECA-k5,f1_macro,0.9222631691979519,0.012076782750755466,0.9136239592552916,0.9309023791406122,10
MCAR,0.05,RFECA-k10,f1_macro,0.9195475816454077,0.01220582903580657,0.9108160575515463,0.9282791057392692,10
MCAR,0.05,RFECA-k20,f1_macro,0.9186194493911886,0.017796188111142502,0.9058888233259297,0.9313500754564474,10
MCAR,0.05,MissForest,f1_macro,0.9223843028951725,0.015136471387818885,0.9115563235558689,0.933212282234476,10
MCAR,0.1,Mean,f1_macro,0.9172617594965422,0.01605824105352499,0.9057743858611614,0.928749133131923,10
MCAR,0.1,KNN,f1_macro,0.9250435506522464,0.00944288687341676,0.918288516315048,0.9317985849894448,10
MCAR,0.1,RFECA-k5,f1_macro,0.9176499720086676,0.013103495114245332,0.9082762962863393,0.9270236477309959,10
MCAR,0.1,RFECA-k10,f1_macro,0.9101142379359773,0.017270423878241063,0.8977597209456369,0.9224687549263177,10
MCAR,0.1,RFECA-k20,f1_macro,0.9181455018411538,0.009329855650388593,0.9114713251699389,0.9248196785123688,10
MCAR,0.1,MissForest,f1_macro,0.9184111521328913,0.01743197676268891,0.9059410671709816,0.930881237094801,10
MCAR,0.2,Mean,f1_macro,0.8913581700907788,0.02086018393114789,0.8764356934558138,0.9062806467257437,10
MCAR,0.2,KNN,f1_macro,0.9122281597629425,0.024181115548930175,0.8949300317609407,0.9295262877649443,10
MCAR,0.2,RFECA-k5,f1_macro,0.8989780446606535,0.02030316609938086,0.8844540345783919,0.913502054742915,10
MCAR,0.2,RFECA-k10,f1_macro,0.8916600081078343,0.012675355446829165,0.8825926050533122,0.9007274111623564,10
MCAR,0.2,RFECA-k20,f1_macro,0.8938904054882315,0.02307889881679367,0.8773807558374399,0.9104000551390231,10
MCAR,0.2,MissForest,f1_macro,0.9083100667448493,0.02374749668847154,0.8913221309892356,0.9252980025004629,10
MCAR,0.3,Mean,f1_macro,0.8885768499616326,0.030796658722170956,0.8665462474639058,0.9106074524593593,10
MCAR,0.3,KNN,f1_macro,0.9084213127452259,0.020250743379397078,0.8939348036177345,0.9229078218727172,10
MCAR,0.3,RFECA-k5,f1_macro,0.8972075574184271,0.02777258674541416,0.8773402456934257,0.9170748691434284,10
MCAR,0.3,RFECA-k10,f1_macro,0.8952167742885134,0.02579802329011786,0.8767619801675356,0.9136715684094913,10
MCAR,0.3,RFECA-k20,f1_macro,0.8827573771638988,0.02572742023663676,0.8643530894248113,0.9011616649029863,10
MCAR,0.3,MissForest,f1_macro,0.9158477886847454,0.015372102278889247,0.9048512491602545,0.9268443282092362,10
MCAR,0.05,Mean,rmse,2.8081285785899355,0.18395351468261026,2.676536161484154,2.939720995695717,10
MCAR,0.05,KNN,rmse,2.016992315275133,0.11987419331205881,1.931239483241689,2.1027451473085765,10
MCAR,0.05,RFECA-k5,rmse,2.0406309920844974,0.12929405503687116,1.9481395969129205,2.1331223872560745,10
MCAR,0.05,RFECA-k10,rmse,2.1476662234311603,0.1996491586230855,2.0048458190389034,2.2904866278234173,10
MCAR,0.05,RFECA-k20,rmse,2.388047481929054,0.13054449171856342,2.294661578241749,2.4814333856163584,10
MCAR,0.05,MissForest,rmse,1.7610788481651167,0.1003083553974721,1.6893225734049753,1.8328351229252582,10
MCAR,0.1,Mean,rmse,2.8483087786082413,0.09058913250776478,2.78350521706292,2.9131123401535626,10
MCAR,0.1,KNN,rmse,2.0850778545925936,0.11379400552241815,2.0036745268840677,2.1664811823011196,10
