dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.2,RFECA-k20,corr_frobenius_rel,10,0.3007608339194011,0.009110412819426764,0.3010628879675683,0.012981161745059255,0.2942436371927805,0.3072780306460217
CPTAC 2C,MAR,0.2,MissForest,corr_frobenius_rel,10,0.1915451332951462,0.007823639047324128,0.19142873320847786,0.012941906219910926,0.18594843907282113,0.19714182751747125
CPTAC 2C,MAR,0.3,Mean,corr_frobenius_rel,10,0.42872183891134164,0.006712197129599595,0.4304895808148256,0.009063418038010085,0.4239202223404461,0.4335234554822372
CPTAC 2C,MAR,0.3,KNN,corr_frobenius_rel,10,0.2737153021972764,0.009188543041999148,0.2718726492719596,0.008704166886323583,0.2671422144763736,0.2802883899181792
CPTAC 2C,MAR,0.3,RFECA-k5,corr_frobenius_rel,10,0.32256390248850514,0.021946783778072063,0.3193105619675525,0.019030738119402812,0.30686411914901635,0.33826368582799393
CPTAC 2C,MAR,0.3,RFECA-k10,corr_frobenius_rel,10,0.3687071398864556,0.02248038681088704,0.36953320446384286,0.02066282955607862,0.3526256399323957,0.3847886398405155
CPTAC 2C,MAR,0.3,RFECA-k20,corr_frobenius_rel,10,0.40636712290646876,0.021972072160573092,0.4043727599968273,0.03137843828263864,0.390649249347917,0.4220849964650205
CPTAC 2C,MAR,0.3,MissForest,corr_frobenius_rel,10,0.24627790610853095,0.00978368513783736,0.24584567152317527,0.002899005558730544,0.23927907937933646,0.25327673283772545
CPTAC 2C,MAR,0.05,Mean,corr_mae_offdiag,10,0.05204594343568204,0.0016558885107546895,0.05172229907639175,0.0019399728957546422,0.050861392153996196,0.05323049471736789
CPTAC 2C,MAR,0.05,KNN,corr_mae_offdiag,10,0.03301367097261952,0.0013479310132497025,0.032861342086930215,0.0023523863797131964,0.03204941921351931,0.033977922731719734
CPTAC 2C,MAR,0.05,RFECA-k5,corr_mae_offdiag,10,0.03301668911071388,0.0022506370725756376,0.0326852396305934,0.002623440744661372,0.0314066803380133,0.03462669788341446
