stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
imputation,RFECA_SVR(k=10),0.1,9,4,94,23,0,1866513510064,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.1,9,5,94,23,0,1866513510288,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.1,9,1,93,24,0,1866513510736,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.1,9,2,93,24,0,1866513510960,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.1,9,3,94,23,0,1866513511184,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.1,9,4,94,23,0,1866513511408,training_fold_X.corr(),False
imputation,RFECA_SVR(k=20),0.1,9,5,94,23,0,1866513511632,training_fold_X.corr(),False
classification,SimpleMean,0.1,9,1,93,24,0,1866472065696,n/a,False
classification,SimpleMean,0.1,9,2,93,24,0,1866472066048,n/a,False
classification,SimpleMean,0.1,9,3,94,23,0,1866472066400,n/a,False
classification,SimpleMean,0.1,9,4,94,23,0,1866472066752,n/a,False
classification,SimpleMean,0.1,9,5,94,23,0,1866472067104,n/a,False
classification,"KNN(k=5,dist)",0.1,9,1,93,24,0,1866513263952,n/a,False
classification,"KNN(k=5,dist)",0.1,9,2,93,24,0,1866515130576,n/a,False
classification,"KNN(k=5,dist)",0.1,9,3,94,23,0,1866515710416,n/a,False
classification,"KNN(k=5,dist)",0.1,9,4,94,23,0,1866515765904,n/a,False
classification,"KNN(k=5,dist)",0.1,9,5,94,23,0,1866516083536,n/a,False
classification,RFECA_SVR(k=5),0.1,9,1,93,24,0,1866533575536,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,9,2,93,24,0,1866533895792,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,9,3,94,23,0,1866534216528,training_fold_X.corr(),False
classification,RFECA_SVR(k=5),0.1,9,4,94,23,0,1866534570704,training_fold_X.corr(),False
