imputer,missing_rate,replicate,model,f1_macro,bal_acc
RFECA_SVR(k=20),0.1,3,SVC,0.9586594202898551,0.95
RFECA_SVR(k=20),0.1,3,LogReg,0.9496212121212121,0.9454545454545455
RFECA_SVR(k=20),0.1,3,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.1,3,GB,0.8075026865244256,0.7988636363636362
RFECA_SVR(k=20),0.1,3,EnsembleSoft,0.925335497835498,0.9325757575757576
RFECA_SVR(k=20),0.1,3,EnsembleHard,0.9586594202898551,0.95
RFECA_SVR(k=20),0.1,4,SVC,0.9230994729907774,0.9208333333333332
RFECA_SVR(k=20),0.1,4,LogReg,0.8968382583599974,0.9041666666666666
RFECA_SVR(k=20),0.1,4,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.1,4,GB,0.7912309212526605,0.787121212121212
RFECA_SVR(k=20),0.1,4,EnsembleSoft,0.9149472990777339,0.9083333333333332
RFECA_SVR(k=20),0.1,4,EnsembleHard,0.9230994729907774,0.9208333333333332
RFECA_SVR(k=20),0.1,5,SVC,0.913654338415208,0.9
RFECA_SVR(k=20),0.1,5,LogReg,0.9086594202898551,0.9
RFECA_SVR(k=20),0.1,5,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.1,5,GB,0.7639000130304479,0.7617424242424241
RFECA_SVR(k=20),0.1,5,EnsembleSoft,0.8940757575757576,0.8871212121212121
RFECA_SVR(k=20),0.1,5,EnsembleHard,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.1,6,SVC,0.9373426501035196,0.9208333333333332
RFECA_SVR(k=20),0.1,6,LogReg,0.9271298387602736,0.9246212121212121
RFECA_SVR(k=20),0.1,6,RF,0.8658672848890239,0.8454545454545453
RFECA_SVR(k=20),0.1,6,GB,0.7457421708726055,0.7371212121212121
RFECA_SVR(k=20),0.1,6,EnsembleSoft,0.8905511638120334,0.8791666666666667
RFECA_SVR(k=20),0.1,6,EnsembleHard,0.9298188405797102,0.9166666666666666
RFECA_SVR(k=20),0.1,7,SVC,0.9344927536231884,0.9166666666666666
RFECA_SVR(k=20),0.1,7,LogReg,0.9078700043917435,0.8992424242424242
RFECA_SVR(k=20),0.1,7,RF,0.8853535353535353,0.8787878787878787
RFECA_SVR(k=20),0.1,7,GB,0.7274319384319383,0.7191666666666666
RFECA_SVR(k=20),0.1,7,EnsembleSoft,0.9056521739130435,0.8874999999999998
RFECA_SVR(k=20),0.1,7,EnsembleHard,0.9122705314009663,0.8916666666666666
RFECA_SVR(k=20),0.1,8,SVC,0.9441139657444004,0.9416666666666667
RFECA_SVR(k=20),0.1,8,LogReg,0.9149559257167953,0.9079545454545453
RFECA_SVR(k=20),0.1,8,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.1,8,GB,0.8401815334424029,0.8204545454545455
RFECA_SVR(k=20),0.1,8,EnsembleSoft,0.9399400527009222,0.925
RFECA_SVR(k=20),0.1,8,EnsembleHard,0.9319400527009222,0.925
RFECA_SVR(k=20),0.1,9,SVC,0.9124927536231885,0.8999999999999998
RFECA_SVR(k=20),0.1,9,LogReg,0.9106926406926407,0.8954545454545453
RFECA_SVR(k=20),0.1,9,RF,0.9083563899868248,0.9037878787878787
RFECA_SVR(k=20),0.1,9,GB,0.7431891779717867,0.7287878787878788
RFECA_SVR(k=20),0.1,9,EnsembleSoft,0.8964177175481524,0.8829545454545453
RFECA_SVR(k=20),0.1,9,EnsembleHard,0.919947299077734,0.9083333333333332
RFECA_SVR(k=20),0.2,0,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.2,0,LogReg,0.8971254470167513,0.8996212121212122
RFECA_SVR(k=20),0.2,0,RF,0.8766017316017315,0.8704545454545454
RFECA_SVR(k=20),0.2,0,GB,0.7660584101888449,0.7562878787878788
RFECA_SVR(k=20),0.2,0,EnsembleSoft,0.9059090909090909,0.9037878787878787
