experiment,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,f1_pm_std,bal_pm_std,n
k5_scaler,RFECA_SVR(k=5),0.0,LogReg,0.9149559257167952,0.0,0.9079545454545452,0.0,0.9150 ± 0.0000,0.9080 ± 0.0000,10
k5_scaler,RFECA_SVR(k=5),0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,0.8042 ± 0.0000,0.7833 ± 0.0000,10
k5_scaler,RFECA_SVR(k=5),0.05,SVC,0.9329677677395068,0.0097989548294202,0.9229166666666666,0.0119879697928,0.9330 ± 0.0098,0.9229 ± 0.0120,10
k5_scaler,RFECA_SVR(k=5),0.05,EnsembleHard,0.9295515600341688,0.0156781187713479,0.9179166666666664,0.0162030423145443,0.9296 ± 0.0157,0.9179 ± 0.0162,10
k5_scaler,RFECA_SVR(k=5),0.05,EnsembleSoft,0.925191655687308,0.0131602687411111,0.9132954545454546,0.0137625683438685,0.9252 ± 0.0132,0.9133 ± 0.0138,10
k5_scaler,RFECA_SVR(k=5),0.05,LogReg,0.919757305979045,0.0084554059604192,0.9125378787878788,0.0097122965205817,0.9198 ± 0.0085,0.9125 ± 0.0097,10
k5_scaler,RFECA_SVR(k=5),0.05,RF,0.9023902136510832,0.0160305794219733,0.8950757575757576,0.0146910241714108,0.9024 ± 0.0160,0.8951 ± 0.0147,10
k5_scaler,RFECA_SVR(k=5),0.05,GB,0.8023114699310352,0.0279003128683074,0.7875606060606061,0.0287950504977866,0.8023 ± 0.0279,0.7876 ± 0.0288,10
k5_scaler,RFECA_SVR(k=5),0.1,SVC,0.9357607001693958,0.0115118300716549,0.9245833333333332,0.0129472457626904,0.9358 ± 0.0115,0.9246 ± 0.0129,10
k5_scaler,RFECA_SVR(k=5),0.1,EnsembleHard,0.9287991790817876,0.0157358508116266,0.9175,0.0168737139427638,0.9288 ± 0.0157,0.9175 ± 0.0169,10
k5_scaler,RFECA_SVR(k=5),0.1,LogReg,0.9244366616475312,0.0140322410706742,0.9187878787878788,0.0169203225914977,0.9244 ± 0.0140,0.9188 ± 0.0169,10
k5_scaler,RFECA_SVR(k=5),0.1,EnsembleSoft,0.9194553736118952,0.0193663802285085,0.908219696969697,0.0228532214387727,0.9195 ± 0.0194,0.9082 ± 0.0229,10
k5_scaler,RFECA_SVR(k=5),0.1,RF,0.8956094808573068,0.0199386239751861,0.8887121212121212,0.0201805441403301,0.8956 ± 0.0199,0.8887 ± 0.0202,10
k5_scaler,RFECA_SVR(k=5),0.1,GB,0.8176551048790179,0.0398959477235594,0.8026212121212121,0.0377800598889376,0.8177 ± 0.0399,0.8026 ± 0.0378,10
k5_scaler,RFECA_SVR(k=5),0.2,SVC,0.924946240715806,0.014549319295462,0.9107954545454544,0.0141867172068678,0.9249 ± 0.0145,0.9108 ± 0.0142,10
k5_scaler,RFECA_SVR(k=5),0.2,EnsembleHard,0.921223844995584,0.0147111797985972,0.9074621212121212,0.01635483653211,0.9212 ± 0.0147,0.9075 ± 0.0164,10
k5_scaler,RFECA_SVR(k=5),0.2,EnsembleSoft,0.9204214411192672,0.017807685511911,0.9107575757575758,0.0183547819548514,0.9204 ± 0.0178,0.9108 ± 0.0184,10
k5_scaler,RFECA_SVR(k=5),0.2,LogReg,0.9147583170452736,0.0168638888330355,0.9096969696969696,0.0187619634995849,0.9148 ± 0.0169,0.9097 ± 0.0188,10
k5_scaler,RFECA_SVR(k=5),0.2,RF,0.8821196248196248,0.0271721776200251,0.8770075757575757,0.0278362848034358,0.8821 ± 0.0272,0.8770 ± 0.0278,10
k5_scaler,RFECA_SVR(k=5),0.2,GB,0.7658259688781428,0.0551805472227194,0.7563106060606061,0.0534851829188044,0.7658 ± 0.0552,0.7563 ± 0.0535,10
k5_scaler,RFECA_SVR(k=5),0.3,SVC,0.9137973292408076,0.0275019107307919,0.8995075757575757,0.0300393887002099,0.9138 ± 0.0275,0.8995 ± 0.0300,10
k5_scaler,RFECA_SVR(k=5),0.3,EnsembleHard,0.9064864543668892,0.0268957367829548,0.8915909090909091,0.0277908600965796,0.9065 ± 0.0269,0.8916 ± 0.0278,10
k5_scaler,RFECA_SVR(k=5),0.3,LogReg,0.9045887264909004,0.0187759378419473,0.8989469696969696,0.022520820157745,0.9046 ± 0.0188,0.8989 ± 0.0225,10
k5_scaler,RFECA_SVR(k=5),0.3,EnsembleSoft,0.8916130765369896,0.0236239577714476,0.8805151515151515,0.0210493938615965,0.8916 ± 0.0236,0.8805 ± 0.0210,10
k5_scaler,RFECA_SVR(k=5),0.3,RF,0.873235154700372,0.0180584057146808,0.8666287878787878,0.016765328194413,0.8732 ± 0.0181,0.8666 ± 0.0168,10
k5_scaler,RFECA_SVR(k=5),0.3,GB,0.7361859779955731,0.0381132270109904,0.7302954545454545,0.035767658404144,0.7362 ± 0.0381,0.7303 ± 0.0358,10
k10_scaler,RFECA_SVR(k=10),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,0.9420 ± 0.0000,0.9333 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.0,SVC,0.9319400527009222,0.0,0.925,0.0,0.9319 ± 0.0000,0.9250 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,0.9274 ± 0.0000,0.9250 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,0.9153 ± 0.0000,0.9083 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.0,LogReg,0.9149559257167952,0.0,0.9079545454545452,0.0,0.9150 ± 0.0000,0.9080 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,0.8042 ± 0.0000,0.7833 ± 0.0000,10
k10_scaler,RFECA_SVR(k=10),0.05,SVC,0.932575625823452,0.0078532208689845,0.92125,0.0072035013777166,0.9326 ± 0.0079,0.9212 ± 0.0072,10
k10_scaler,RFECA_SVR(k=10),0.05,EnsembleSoft,0.9321937417654808,0.0167421917471572,0.92,0.0179806137029803,0.9322 ± 0.0167,0.9200 ± 0.0180,10
k10_scaler,RFECA_SVR(k=10),0.05,EnsembleHard,0.9307532163488684,0.0158704842008633,0.9183333333333332,0.0166897987619998,0.9308 ± 0.0159,0.9183 ± 0.0167,10
k10_scaler,RFECA_SVR(k=10),0.05,LogReg,0.9145447455925716,0.0064347572933111,0.907121212121212,0.007556372504853,0.9145 ± 0.0064,0.9071 ± 0.0076,10
k10_scaler,RFECA_SVR(k=10),0.05,RF,0.9064162504162504,0.0152624829272864,0.8996969696969697,0.0128028061662288,0.9064 ± 0.0153,0.8997 ± 0.0128,10
k10_scaler,RFECA_SVR(k=10),0.05,GB,0.809432983441679,0.0179562600111937,0.7904772727272728,0.0192723940768055,0.8094 ± 0.0180,0.7905 ± 0.0193,10
k10_scaler,RFECA_SVR(k=10),0.1,EnsembleHard,0.9352805057261578,0.0132889526977088,0.9241666666666666,0.0159329226663333,0.9353 ± 0.0133,0.9242 ± 0.0159,10
k10_scaler,RFECA_SVR(k=10),0.1,SVC,0.9349928006775834,0.0110807310870719,0.9241666666666666,0.0122348419697473,0.9350 ± 0.0111,0.9242 ± 0.0122,10
k10_scaler,RFECA_SVR(k=10),0.1,LogReg,0.9269205721814416,0.0089238857278221,0.9217803030303028,0.0117719163689889,0.9269 ± 0.0089,0.9218 ± 0.0118,10
k10_scaler,RFECA_SVR(k=10),0.1,EnsembleSoft,0.9252565280130496,0.0198549636807825,0.9157196969696968,0.0210076499760096,0.9253 ± 0.0199,0.9157 ± 0.0210,10
k10_scaler,RFECA_SVR(k=10),0.1,RF,0.895144883377492,0.0190775999631468,0.8879166666666667,0.0206024472594461,0.8951 ± 0.0191,0.8879 ± 0.0206,10
k10_scaler,RFECA_SVR(k=10),0.1,GB,0.7864830658874137,0.0358274332271611,0.7743257575757576,0.0335859620640921,0.7865 ± 0.0358,0.7743 ± 0.0336,10
