dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MCAR,0.2,MissForest,f1_macro,10,0.9083100667448493,0.02374749668847154,0.9100185020293716,0.02706008061986309,0.8913221309892356,0.9252980025004629
CPTAC 2C,MCAR,0.3,Mean,f1_macro,10,0.8885768499616326,0.030796658722170956,0.8820372091676439,0.03898803189564071,0.8665462474639058,0.9106074524593593
CPTAC 2C,MCAR,0.3,KNN,f1_macro,10,0.9084213127452259,0.020250743379397078,0.9014778361734883,0.03094295378534495,0.8939348036177345,0.9229078218727172
CPTAC 2C,MCAR,0.3,MissForest,f1_macro,10,0.9158477886847454,0.015372102278889247,0.9124305103109451,0.01362922705314018,0.9048512491602545,0.9268443282092362
CPTAC 2C,MCAR,0.05,Mean,mae,10,2.0590495128583024,0.13667749677505875,2.0466527516427773,0.25686985909703264,1.9612763216494808,2.1568227040671237
CPTAC 2C,MCAR,0.05,KNN,mae,10,1.3827025353871933,0.07009559041830977,1.3654964113324701,0.0856867493371658,1.3325591707033644,1.4328459000710223
CPTAC 2C,MCAR,0.05,MissForest,mae,10,1.193749937774081,0.06741077917535133,1.176758142938127,0.09923580833821743,1.14552717135413,1.241972704194032
CPTAC 2C,MCAR,0.1,Mean,mae,10,2.0974710178606673,0.05791214804687886,2.088764160164444,0.07320987199559559,2.0560431628157367,2.1388988729055978
CPTAC 2C,MCAR,0.1,KNN,mae,10,1.412741183156208,0.06751496392634991,1.4312711055144836,0.10515549459940399,1.3644438874551332,1.4610384788572828
CPTAC 2C,MCAR,0.1,MissForest,mae,10,1.227643197064121,0.06406772738165302,1.2274633668348742,0.07712967560521222,1.1818119058318097,1.2734744882964324
CPTAC 2C,MCAR,0.2,Mean,mae,10,2.062941657536303,0.04557995727042893,2.064324220115738,0.049599629596819295,2.030335720329054,2.095547594743552
CPTAC 2C,MCAR,0.2,KNN,mae,10,1.4203747946139693,0.03567193327770622,1.41974637817429,0.031051346844977568,1.3948566307944374,1.4458929584335012
CPTAC 2C,MCAR,0.2,MissForest,mae,10,1.2359459122698118,0.028073059504243512,1.235272325234849,0.04069482332620389,1.2158636552817257,1.2560281692578978
CPTAC 2C,MCAR,0.3,Mean,mae,10,2.0680058780241124,0.04397126561741973,2.0732987383719155,0.023385427892435917,2.0365507295004206,2.099461026547804
CPTAC 2C,MCAR,0.3,KNN,mae,10,1.4698446113759203,0.041207465336761166,1.4669945715811452,0.05383869940493402,1.4403665664697214,1.4993226562821191
CPTAC 2C,MCAR,0.3,MissForest,mae,10,1.2799871668453915,0.04058230877499855,1.283507914979063,0.049080608481259835,1.2509563320029624,1.3090180016878206
CPTAC 2C,MCAR,0.0,Mean,precision_macro,10,0.9549725274725274,0.0,0.9549725274725274,0.0,0.9549725274725274,0.9549725274725274
CPTAC 2C,MCAR,0.0,KNN,precision_macro,10,0.9549725274725274,0.0,0.9549725274725274,0.0,0.9549725274725274,0.9549725274725274
CPTAC 2C,MCAR,0.0,MissForest,precision_macro,10,0.9549725274725274,0.0,0.9549725274725274,0.0,0.9549725274725274,0.9549725274725274
CPTAC 2C,MCAR,0.05,Mean,precision_macro,10,0.9603641358641358,0.009954237741045964,0.9620238095238095,0.0073557692307691935,0.9532433031524048,0.9674849685758669
CPTAC 2C,MCAR,0.05,KNN,precision_macro,10,0.9599276556776555,0.0069580766919724235,0.9584981684981685,0.009791666666666532,0.9549501474637795,0.9649051638915315
