mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MCAR,0.05,RFECA-k10,recall_macro,0.8725492380248477,0.002997248995359812,0.8704051352571035,0.874693340792592,10
MCAR,0.05,RFECA-k20,recall_macro,0.8722983442530939,0.0019060004716490095,0.8709348736529164,0.8736618148532714,10
MCAR,0.05,MissForest,recall_macro,0.8716584870342894,0.0038086683984285847,0.8689339297929213,0.8743830442756575,10
MCAR,0.1,Mean,bal_acc,0.865265318229054,0.004603800672505481,0.8619719576242648,0.8685586788338431,10
MCAR,0.1,KNN,bal_acc,0.8661451610363677,0.003577512318700892,0.86358596289299,0.8687043591797455,10
MCAR,0.1,RFECA-k5,bal_acc,0.8672119054102365,0.003915983650389774,0.864410579462262,0.8700132313582111,10
MCAR,0.1,RFECA-k10,bal_acc,0.8684074293271984,0.004502497590422766,0.8651865365817731,0.8716283220726236,10
MCAR,0.1,RFECA-k20,bal_acc,0.8690059303839792,0.004212306866118486,0.8659926275772337,0.8720192331907247,10
MCAR,0.1,MissForest,bal_acc,0.869314236255828,0.004397453209314353,0.8661684877338621,0.872459984777794,10
MCAR,0.1,Mean,f1_macro,0.8747997280647162,0.004330636539060007,0.8717017773092507,0.8778976788201817,10
MCAR,0.1,KNN,f1_macro,0.8756739489033232,0.003331755187886163,0.8732905548206652,0.8780573429859811,10
MCAR,0.1,RFECA-k5,f1_macro,0.8770501697569497,0.00411958446416777,0.8741031965607778,0.8799971429531216,10
MCAR,0.1,RFECA-k10,f1_macro,0.8780695701858203,0.0046806824421171634,0.8747212116761962,0.8814179286954444,10
MCAR,0.1,RFECA-k20,f1_macro,0.8788408255873517,0.004135626517051879,0.8758823765978632,0.8817992745768402,10
MCAR,0.1,MissForest,f1_macro,0.8786664667109548,0.004878727187900498,0.8751764355247433,0.8821564978971663,10
MCAR,0.1,Mean,precision_macro,0.8883895750527644,0.004326891923083289,0.8852943030341981,0.8914848470713307,10
MCAR,0.1,KNN,precision_macro,0.8890790201315752,0.003227297866960399,0.8867703503148208,0.8913876899483297,10
MCAR,0.1,RFECA-k5,precision_macro,0.8913549541189992,0.004322770675533812,0.8882626302633286,0.8944472779746698,10
MCAR,0.1,RFECA-k10,precision_macro,0.8921001852614101,0.004995896406278822,0.8885263362656646,0.8956740342571556,10
MCAR,0.1,RFECA-k20,precision_macro,0.8929624760648365,0.00462011604134521,0.8896574441482743,0.8962675079813986,10
MCAR,0.1,MissForest,precision_macro,0.8919890195958823,0.005250891303210516,0.8882327582396293,0.8957452809521352,10
MCAR,0.1,Mean,recall_macro,0.8652653182290537,0.004603800672505465,0.8619719576242646,0.8685586788338429,10
MCAR,0.1,KNN,recall_macro,0.8661451610363677,0.003577512318700828,0.86358596289299,0.8687043591797455,10
MCAR,0.1,RFECA-k5,recall_macro,0.8672119054102365,0.003915983650389774,0.864410579462262,0.8700132313582111,10
MCAR,0.1,RFECA-k10,recall_macro,0.8684074293271984,0.004502497590422766,0.8651865365817731,0.8716283220726236,10
MCAR,0.1,RFECA-k20,recall_macro,0.8690059303839792,0.004212306866118458,0.8659926275772337,0.8720192331907247,10
