imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
SimpleMean,0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,10,0.9274 ± 0.0000,0.9250 ± 0.0000
SimpleMean,0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,10,0.9153 ± 0.0000,0.9083 ± 0.0000
SimpleMean,0.0,LogReg,0.9149559257167953,0.0,0.9079545454545453,0.0,10,0.9150 ± 0.0000,0.9080 ± 0.0000
SimpleMean,0.0,GB,0.8042421210029905,0.0,0.7833333333333333,0.0,10,0.8042 ± 0.0000,0.7833 ± 0.0000
SimpleMean,0.05,EnsembleHard,0.9349280914737437,0.013254202765034952,0.9245833333333333,0.014887696884290666,10,0.9349 ± 0.0133,0.9246 ± 0.0149
SimpleMean,0.05,EnsembleSoft,0.9319202961289917,0.013932182271888431,0.9195454545454546,0.013917784450398507,10,0.9319 ± 0.0139,0.9195 ± 0.0139
SimpleMean,0.05,SVC,0.9318232448710709,0.010641223616046093,0.9208333333333332,0.009212846639876067,10,0.9318 ± 0.0106,0.9208 ± 0.0092
SimpleMean,0.05,LogReg,0.917556299980213,0.009129408653388483,0.9116666666666665,0.009343093086861156,10,0.9176 ± 0.0091,0.9117 ± 0.0093
SimpleMean,0.05,RF,0.8965016061233453,0.01358452778257841,0.8856439393939393,0.013754457310580495,10,0.8965 ± 0.0136,0.8856 ± 0.0138
SimpleMean,0.05,GB,0.8121124697363827,0.022484621586838175,0.7931439393939395,0.023706089690185957,10,0.8121 ± 0.0225,0.7931 ± 0.0237
SimpleMean,0.1,SVC,0.9295902032749858,0.018063330742373505,0.9154166666666667,0.01822040133178622,10,0.9296 ± 0.0181,0.9154 ± 0.0182
SimpleMean,0.1,EnsembleHard,0.9275251769969162,0.025017606215727628,0.9133333333333333,0.026264325896828464,10,0.9275 ± 0.0250,0.9133 ± 0.0263
SimpleMean,0.1,EnsembleSoft,0.9258779104953018,0.019478329955523416,0.9152651515151515,0.02212303535911529,10,0.9259 ± 0.0195,0.9153 ± 0.0221
SimpleMean,0.1,LogReg,0.9196691323169583,0.01199244087709997,0.9143181818181818,0.01255383265847112,10,0.9197 ± 0.0120,0.9143 ± 0.0126
SimpleMean,0.1,RF,0.8857456603782691,0.017982913558627505,0.8701515151515151,0.01724102176043344,10,0.8857 ± 0.0180,0.8702 ± 0.0172
SimpleMean,0.1,GB,0.7829998692933475,0.03654630862452318,0.770719696969697,0.04225519847647017,10,0.7830 ± 0.0365,0.7707 ± 0.0423
SimpleMean,0.2,EnsembleSoft,0.9156347823673909,0.020653586127861008,0.9040530303030303,0.023301561571189882,10,0.9156 ± 0.0207,0.9041 ± 0.0233
SimpleMean,0.2,EnsembleHard,0.9123623048449134,0.02249162348839493,0.8970454545454546,0.027402073559191314,10,0.9124 ± 0.0225,0.8970 ± 0.0274
SimpleMean,0.2,SVC,0.9119500907305256,0.02215750031586808,0.8962121212121211,0.02124666499454608,10,0.9120 ± 0.0222,0.8962 ± 0.0212
SimpleMean,0.2,LogReg,0.9060350000241305,0.02508396351297012,0.9,0.024854181411573837,10,0.9060 ± 0.0251,0.9000 ± 0.0249
SimpleMean,0.2,RF,0.8792406788863311,0.015760975838701178,0.8645833333333333,0.02065175692959696,10,0.8792 ± 0.0158,0.8646 ± 0.0207
SimpleMean,0.2,GB,0.7845027465288335,0.04806583249078829,0.7711893939393939,0.05153382818997127,10,0.7845 ± 0.0481,0.7712 ± 0.0515
SimpleMean,0.3,LogReg,0.9048504558243688,0.022176262291745383,0.8994166666666666,0.025503876610648953,10,0.9049 ± 0.0222,0.8994 ± 0.0255
SimpleMean,0.3,EnsembleSoft,0.902378817800557,0.013667372194275527,0.8888863636363634,0.013918244917279976,10,0.9024 ± 0.0137,0.8889 ± 0.0139
SimpleMean,0.3,EnsembleHard,0.898426702283224,0.024063838841176945,0.8832196969696969,0.02399856967177827,10,0.8984 ± 0.0241,0.8832 ± 0.0240
SimpleMean,0.3,SVC,0.894166932584324,0.03677954536683322,0.8803787878787878,0.03775814119913201,10,0.8942 ± 0.0368,0.8804 ± 0.0378
SimpleMean,0.3,RF,0.8300829023633371,0.02687162541283673,0.8133560606060606,0.029213058343449397,10,0.8301 ± 0.0269,0.8134 ± 0.0292
SimpleMean,0.3,GB,0.7457512014555493,0.033711209735224346,0.7381666666666666,0.029439371845050622,10,0.7458 ± 0.0337,0.7382 ± 0.0294
